x P0 P1 P2 P3 P4 P5
-1 1 -1 1 -1 1 -1
-0.99 1 -0.99 0.97015 -0.9407475 0.90223254375 -0.855180392962499
-0.98 1 -0.98 0.9406 -0.88298 0.8088607 -0.7204462748
-0.97 1 -0.97 0.91135 -0.8266825 0.71978104375 -0.5953917023875
-0.96 1 -0.96 0.8824 -0.77184 0.6348912 -0.479619993599999
-0.95 1 -0.95 0.85375 -0.7184375 0.55408984375 -0.372743632812499
-0.94 1 -0.94 0.8254 -0.66646 0.4772767 -0.2743841764
-0.93 1 -0.93 0.79735 -0.6158925 0.40435254375 -0.1841721582375
-0.92 1 -0.92 0.7696 -0.56672 0.3352192 -0.101746995200001
-0.91 1 -0.91 0.74215 -0.5189275 0.26977954375 -0.0267568926625001
-0.9 1 -0.9 0.715 -0.4725 0.2079375 0.0411412500000001
-0.89 1 -0.89 0.68815 -0.4274225 0.14959804375 0.1022819339125
-0.88 1 -0.88 0.6616 -0.38368 0.0946672000000002 0.1569911552
-0.87 1 -0.87 0.63535 -0.3412575 0.0430520437499996 0.2055864994875
-0.86 1 -0.86 0.6094 -0.30014 -0.0053393000000001 0.2483772364
-0.85 1 -0.85 0.58375 -0.2603125 -0.05059765625 0.2856644140625
-0.84 1 -0.84 0.5584 -0.22176 -0.0928127999999999 0.3177409536
-0.83 1 -0.83 0.53335 -0.1844675 -0.13207345625 0.3448917436375
-0.82 1 -0.82 0.5086 -0.14842 -0.1684673 0.3673937348
-0.81 1 -0.81 0.48415 -0.1136025 -0.20208095625 0.3855160342125
-0.8 1 -0.8 0.46 -0.0800000000000002 -0.233 0.39952
-0.79 1 -0.79 0.43615 -0.0475975 -0.26130895625 0.4096593357875
-0.78 1 -0.78 0.4126 -0.01638 -0.2870913 0.4161801852
-0.77 1 -0.77 0.38935 0.0136674999999999 -0.31042945625 0.4193212263625
-0.76 1 -0.76 0.3664 0.0425599999999999 -0.3314048 0.4193137664
-0.75 1 -0.75 0.34375 0.0703125 -0.35009765625 0.4163818359375
-0.74 1 -0.74 0.3214 0.0969400000000001 -0.3665873 0.4107422836
-0.73 1 -0.73 0.29935 0.1224575 -0.38095195625 0.4026048705125
-0.72 1 -0.72 0.2776 0.14688 -0.3932688 0.3921723648
-0.71 1 -0.71 0.25615 0.1702225 -0.40361395625 0.3796406360875
-0.7 1 -0.7 0.235 0.1925 -0.4120625 0.36519875
-0.69 1 -0.69 0.21415 0.2137275 -0.41868845625 0.3490290626625
-0.68 1 -0.68 0.1936 0.23392 -0.4235648 0.3313073152
-0.67 1 -0.67 0.17335 0.2530925 -0.42676345625 0.3122027282375
-0.66 1 -0.66 0.1534 0.27126 -0.4283553 0.2918780964
-0.65 1 -0.65 0.13375 0.2884375 -0.42841015625 0.2704898828125
-0.64 1 -0.64 0.1144 0.30464 -0.4269968 0.2481883136
-0.63 1 -0.63 0.09535 0.3198825 -0.42418295625 0.2251174723875
-0.62 1 -0.62 0.0766 0.33418 -0.4200353 0.2014153948
-0.61 1 -0.61 0.05815 0.3475475 -0.41461945625 0.1772141629625
-0.6 1 -0.6 0.0399999999999999 0.36 -0.408 0.15264
-0.59 1 -0.59 0.0221500000000001 0.3715525 -0.40024045625 0.1278133645375
-0.58 1 -0.58 0.00460000000000016 0.38222 -0.3914033 0.1028490452
-0.57 1 -0.57 -0.0126499999999999 0.3920175 -0.38154995625 0.0778562551125001
-0.56 1 -0.56 -0.0295999999999999 0.40096 -0.3707408 0.0529387264000002
-0.55 1 -0.55 -0.0462499999999999 0.4090625 -0.35903515625 0.0281948046875001
-0.54 1 -0.54 -0.0625999999999999 0.41634 -0.3464913 0.00371754360000009
-0.53 1 -0.53 -0.0786499999999999 0.4228075 -0.33316645625 -0.0204052007375
-0.52 1 -0.52 -0.0944 0.42848 -0.3191168 -0.0440906752
-0.51 1 -0.51 -0.10985 0.4333725 -0.30439745625 -0.0672611351625
-0.5 1 -0.5 -0.125 0.4375 -0.2890625 -0.08984375
